"FIPS.Code","County","Year","Program.Type","Population"
36097,"Schuyler",2012,"Postcensal Population Estimate",18498
36099,"Seneca",2012,"Postcensal Population Estimate",35388
36101,"Steuben",2012,"Postcensal Population Estimate",98925
36103,"Suffolk",2012,"Postcensal Population Estimate",1496982
36105,"Sullivan",2012,"Postcensal Population Estimate",76931
36107,"Tioga",2012,"Postcensal Population Estimate",50278
36109,"Tompkins",2012,"Postcensal Population Estimate",102726
36111,"Ulster",2012,"Postcensal Population Estimate",181538
36113,"Warren",2012,"Postcensal Population Estimate",65417
36115,"Washington",2012,"Postcensal Population Estimate",63003
36117,"Wayne",2012,"Postcensal Population Estimate",93029
36119,"Westchester",2012,"Postcensal Population Estimate",959585
36121,"Wyoming",2012,"Postcensal Population Estimate",41700
36123,"Yates",2012,"Postcensal Population Estimate",25337
36000,"New",2011,"Postcensal Population Estimate",19499241
36001,"Albany",2011,"Postcensal Population Estimate",304596
36003,"Allegany",2011,"Postcensal Population Estimate",48800
36005,"Bronx",2011,"Postcensal Population Estimate",1397335
36007,"Broome",2011,"Postcensal Population Estimate",199363
36009,"Cattaraugus",2011,"Postcensal Population Estimate",79815
36011,"Cayuga",2011,"Postcensal Population Estimate",79693
36013,"Chautauqua",2011,"Postcensal Population Estimate",134209
36015,"Chemung",2011,"Postcensal Population Estimate",88899
36017,"Chenango",2011,"Postcensal Population Estimate",50182
36019,"Clinton",2011,"Postcensal Population Estimate",81728
36021,"Columbia",2011,"Postcensal Population Estimate",62528
36023,"Cortland",2011,"Postcensal Population Estimate",49380
36025,"Delaware",2011,"Postcensal Population Estimate",47584
36027,"Dutchess",2011,"Postcensal Population Estimate",298133
36029,"Erie",2011,"Postcensal Population Estimate",919843
36031,"Essex",2011,"Postcensal Population Estimate",39271
36033,"Franklin",2011,"Postcensal Population Estimate",51545
36035,"Fulton",2011,"Postcensal Population Estimate",55112
36037,"Genesee",2011,"Postcensal Population Estimate",59880
36039,"Greene",2011,"Postcensal Population Estimate",48857
36041,"Hamilton",2011,"Postcensal Population Estimate",4826
36043,"Herkimer",2011,"Postcensal Population Estimate",64386
36045,"Jefferson",2011,"Postcensal Population Estimate",117752
36047,"Kings",2011,"Postcensal Population Estimate",2540817
36049,"Lewis",2011,"Postcensal Population Estimate",27027
36051,"Livingston",2011,"Postcensal Population Estimate",64849
36053,"Madison",2011,"Postcensal Population Estimate",72887
36055,"Monroe",2011,"Postcensal Population Estimate",746751
36057,"Montgomery",2011,"Postcensal Population Estimate",49911
36059,"Nassau",2011,"Postcensal Population Estimate",1346223
36061,"New",2011,"Postcensal Population Estimate",1608293
36063,"Niagara",2011,"Postcensal Population Estimate",215719
36065,"Oneida",2011,"Postcensal Population Estimate",234218
36067,"Onondaga",2011,"Postcensal Population Estimate",467614
36069,"Ontario",2011,"Postcensal Population Estimate",108599
36071,"Orange",2011,"Postcensal Population Estimate",374097
36073,"Orleans",2011,"Postcensal Population Estimate",42648
36075,"Oswego",2011,"Postcensal Population Estimate",121981
36077,"Otsego",2011,"Postcensal Population Estimate",61971
36079,"Putnam",2011,"Postcensal Population Estimate",99827
36081,"Queens",2011,"Postcensal Population Estimate",2255482
36083,"Rensselaer",2011,"Postcensal Population Estimate",159589
36085,"Richmond",2011,"Postcensal Population Estimate",471021
36087,"Rockland",2011,"Postcensal Population Estimate",315452
36089,"St.",2011,"Postcensal Population Estimate",112277
36091,"Saratoga",2011,"Postcensal Population Estimate",221111
36093,"Schenectady",2011,"Postcensal Population Estimate",154864
36095,"Schoharie",2011,"Postcensal Population Estimate",32618
36097,"Schuyler",2011,"Postcensal Population Estimate",18413
36099,"Seneca",2011,"Postcensal Population Estimate",35380
36101,"Steuben",2011,"Postcensal Population Estimate",99148
36103,"Suffolk",2011,"Postcensal Population Estimate",1498892
36105,"Sullivan",2011,"Postcensal Population Estimate",77053
36107,"Tioga",2011,"Postcensal Population Estimate",50875
36109,"Tompkins",2011,"Postcensal Population Estimate",101821
36111,"Ulster",2011,"Postcensal Population Estimate",182448
36113,"Warren",2011,"Postcensal Population Estimate",65736
36115,"Washington",2011,"Postcensal Population Estimate",63091
36117,"Wayne",2011,"Postcensal Population Estimate",93256
36119,"Westchester",2011,"Postcensal Population Estimate",956262
36121,"Wyoming",2011,"Postcensal Population Estimate",41849
36123,"Yates",2011,"Postcensal Population Estimate",25454
36000,"New",2010,"Postcensal Population Estimate",19399878
36001,"Albany",2010,"Postcensal Population Estimate",304086
36003,"Allegany",2010,"Postcensal Population Estimate",48971
36005,"Bronx",2010,"Postcensal Population Estimate",1387298
36007,"Broome",2010,"Postcensal Population Estimate",200481
36009,"Cattaraugus",2010,"Postcensal Population Estimate",80218
36011,"Cayuga",2010,"Postcensal Population Estimate",79895
36013,"Chautauqua",2010,"Postcensal Population Estimate",134725
36015,"Chemung",2010,"Postcensal Population Estimate",88895
36017,"Chenango",2010,"Postcensal Population Estimate",50399
36019,"Clinton",2010,"Postcensal Population Estimate",82096
36021,"Columbia",2010,"Postcensal Population Estimate",63036
36023,"Cortland",2010,"Postcensal Population Estimate",49279
36025,"Delaware",2010,"Postcensal Population Estimate",47888
36027,"Dutchess",2010,"Postcensal Population Estimate",297728
36029,"Erie",2010,"Postcensal Population Estimate",919152
36031,"Essex",2010,"Postcensal Population Estimate",39360
36033,"Franklin",2010,"Postcensal Population Estimate",51645
36035,"Fulton",2010,"Postcensal Population Estimate",55455
36037,"Genesee",2010,"Postcensal Population Estimate",59928
36039,"Greene",2010,"Postcensal Population Estimate",49139
36041,"Hamilton",2010,"Postcensal Population Estimate",4851
36043,"Herkimer",2010,"Postcensal Population Estimate",64470
36045,"Jefferson",2010,"Postcensal Population Estimate",116592
36047,"Kings",2010,"Postcensal Population Estimate",2509828
36049,"Lewis",2010,"Postcensal Population Estimate",27077
36051,"Livingston",2010,"Postcensal Population Estimate",65240
36053,"Madison",2010,"Postcensal Population Estimate",73440
36055,"Monroe",2010,"Postcensal Population Estimate",744580
36057,"Montgomery",2010,"Postcensal Population Estimate",50307
36059,"Nassau",2010,"Postcensal Population Estimate",1341669
36061,"New",2010,"Postcensal Population Estimate",1588767
36063,"Niagara",2010,"Postcensal Population Estimate",216475
36065,"Oneida",2010,"Postcensal Population Estimate",234756
36067,"Onondaga",2010,"Postcensal Population Estimate",467533
36069,"Ontario",2010,"Postcensal Population Estimate",108176
36071,"Orange",2010,"Postcensal Population Estimate",373445
36073,"Orleans",2010,"Postcensal Population Estimate",42851
36075,"Oswego",2010,"Postcensal Population Estimate",122137
36077,"Otsego",2010,"Postcensal Population Estimate",62259
36079,"Putnam",2010,"Postcensal Population Estimate",99667
36081,"Queens",2010,"Postcensal Population Estimate",2234701
36083,"Rensselaer",2010,"Postcensal Population Estimate",159340
36085,"Richmond",2010,"Postcensal Population Estimate",469615
36087,"Rockland",2010,"Postcensal Population Estimate",312499
36089,"St.",2010,"Postcensal Population Estimate",111812
36091,"Saratoga",2010,"Postcensal Population Estimate",220109
36093,"Schenectady",2010,"Postcensal Population Estimate",154861
36095,"Schoharie",2010,"Postcensal Population Estimate",32686
36097,"Schuyler",2010,"Postcensal Population Estimate",18334
36099,"Seneca",2010,"Postcensal Population Estimate",35266
36101,"Steuben",2010,"Postcensal Population Estimate",99005
36103,"Suffolk",2010,"Postcensal Population Estimate",1494339
36105,"Sullivan",2010,"Postcensal Population Estimate",77476
36107,"Tioga",2010,"Postcensal Population Estimate",51008
36109,"Tompkins",2010,"Postcensal Population Estimate",101740
36111,"Ulster",2010,"Postcensal Population Estimate",182418
36113,"Warren",2010,"Postcensal Population Estimate",65665
36115,"Washington",2010,"Postcensal Population Estimate",63356
36117,"Wayne",2010,"Postcensal Population Estimate",93751
36119,"Westchester",2010,"Postcensal Population Estimate",950601
36121,"Wyoming",2010,"Postcensal Population Estimate",42126
36123,"Yates",2010,"Postcensal Population Estimate",25376
