"County","Year","Jail.Population","Boarded.Out","Boarded.In","in.House.Census","Sentenced","Civil","Federal","Technical.Parole.Violators","State.Readies","Other.Unsentenced"
"Erie",2013,508,0,0,508,83,1,45,21,3,355
"Erie",2012,518,0,0,518,82,2,38,33,6,357
"Erie",2011,483,0,0,483,93,2,22,44,13,309
"Erie",2010,480,0,0,480,92,1,8,46,10,322
"Erie",2019,0,0,0,0,0,0,0,0,0,0
"Erie",2018,0,0,0,0,0,0,0,0,0,0
"Erie",2017,0,0,0,0,0,0,0,0,0,0
"Erie",2016,0,0,0,0,0,0,0,0,0,0
"Erie",2015,0,0,0,0,0,0,0,0,0,0
"Erie",2014,3,0,0,3,3,0,0,0,0,0
"Erie",2013,30,0,0,30,30,0,0,0,0,0
"Erie",2012,61,0,0,61,61,0,0,0,0,0
"Erie",2011,65,0,0,65,65,0,0,0,0,0
"Erie",2010,80,0,0,80,80,0,0,0,0,0
"Essex",2019,71,0,1,72,11,0,38,2,1,20
"Essex",2018,73,0,1,73,14,0,39,3,1,17
"Essex",2017,72,0,4,76,12,0,37,3,1,24
"Essex",2016,70,1,3,72,14,0,26,3,1,29
"Essex",2015,62,0,5,67,13,0,27,3,1,23
"Essex",2014,81,0,3,84,20,0,25,3,2,34
"Essex",2013,79,0,5,83,15,0,28,3,1,36
"Essex",2012,66,0,15,81,17,0,22,3,1,38
"Essex",2011,73,0,5,78,16,0,33,2,1,27
"Essex",2010,71,0,4,75,14,0,36,1,0,23
"Essex",2019,0,0,0,0,0,0,0,0,0,0
"Essex",2018,0,0,0,0,0,0,0,0,0,0
"Essex",2017,0,0,0,0,0,0,0,0,0,0
"Essex",2016,0,0,0,0,0,0,0,0,0,0
"Essex",2015,0,0,0,0,0,0,0,0,0,0
"Essex",2014,0,0,0,0,0,0,0,0,0,0
"Essex",2013,0,0,0,0,0,0,0,0,0,0
"Essex",2012,0,0,0,0,0,0,0,0,0,0
"Essex",2011,0,0,0,0,0,0,0,0,0,0
"Essex",2010,0,0,0,0,0,0,0,0,0,0
"Franklin",2019,81,3,0,78,29,9,0,6,1,33
"Franklin",2018,91,1,0,90,27,7,0,4,1,51
"Franklin",2017,93,0,1,94,27,9,0,7,1,51
"Franklin",2016,110,3,1,107,35,8,0,7,1,57
"Franklin",2015,106,4,0,102,30,10,0,7,1,54
"Franklin",2014,116,9,1,109,30,6,0,6,1,65
"Franklin",2013,116,8,2,110,35,0,0,3,0,71
"Franklin",2012,114,11,2,105,33,1,0,6,1,66
"Franklin",2011,117,5,0,112,32,1,0,4,0,75
"Franklin",2010,114,7,0,107,29,3,0,4,0,71
"Fulton",2019,82,1,18,100,26,0,0,8,1,64
"Fulton",2018,100,0,14,114,29,1,0,7,1,76
"Fulton",2017,86,0,13,98,23,1,0,5,1,68
"Fulton",2016,87,0,9,96,23,0,0,7,1,64
"Fulton",2015,72,1,10,82,19,2,0,5,1,54
"Fulton",2014,90,1,12,101,24,2,0,5,2,69
"Fulton",2013,92,0,17,108,25,3,0,5,2,74
"Fulton",2012,82,0,21,103,22,4,0,3,1,73
"Fulton",2011,84,0,15,99,33,2,0,7,1,56
"Fulton",2010,75,1,9,84,23,2,0,4,1,54
"Genesee",2019,104,21,0,83,29,1,0,7,1,44
"Genesee",2018,105,22,0,83,28,0,1,5,2,47
"Genesee",2017,97,20,0,78,26,1,0,5,2,45
"Genesee",2016,92,17,0,76,26,1,1,6,2,41
"Genesee",2015,80,14,1,66,25,0,1,4,2,35
"Genesee",2014,84,15,0,69,26,0,1,5,1,36
"Genesee",2013,88,18,1,70,29,0,1,2,1,37
"Genesee",2012,91,15,1,78,26,1,0,5,2,43
"Genesee",2011,79,10,2,71,21,2,2,5,1,39
"Genesee",2010,77,11,0,66,24,1,1,8,1,30
"Greene",2019,35,35,0,0,0,0,0,0,0,0
"Greene",2018,48,41,0,6,1,0,0,1,0,5
"Greene",2017,40,16,0,24,2,1,0,3,1,18
"Greene",2016,59,22,0,37,5,0,0,3,1,28
"Greene",2015,76,30,0,46,9,0,0,5,1,31
"Greene",2014,71,28,0,43,8,0,0,3,1,31
"Greene",2013,85,39,0,46,10,0,0,3,1,32
"Greene",2012,70,19,0,52,12,1,0,3,1,34
"Greene",2011,79,27,0,51,12,1,0,3,2,34
"Greene",2010,78,26,0,51,14,2,0,4,1,30
"Hamilton",2019,2,0,0,2,1,0,0,0,0,1
"Hamilton",2018,2,0,0,2,0,0,0,0,0,1
"Hamilton",2017,2,0,0,1,0,0,0,0,0,1
"Hamilton",2016,2,0,0,2,1,0,0,0,0,1
"Hamilton",2015,3,0,0,2,1,0,0,0,0,2
"Hamilton",2014,5,1,0,4,1,0,0,0,0,2
"Hamilton",2013,5,1,0,4,1,0,0,0,0,3
"Hamilton",2012,4,0,0,3,1,0,0,0,0,2
"Hamilton",2011,3,0,0,3,2,0,0,0,0,1
"Hamilton",2010,2,0,0,2,1,0,0,0,0,1
"Herkimer",2019,52,29,0,23,3,1,0,2,1,16
"Herkimer",2018,62,34,0,28,5,1,0,3,0,19
"Herkimer",2017,70,38,0,31,3,1,0,3,1,25
"Herkimer",2016,64,32,0,32,6,0,0,3,1,22
"Herkimer",2015,76,44,0,32,6,0,0,2,0,23
"Herkimer",2014,83,53,0,30,4,1,0,2,1,22
"Herkimer",2013,83,54,0,29,3,0,0,2,1,23
"Herkimer",2012,70,44,0,26,4,0,0,1,0,21
"Herkimer",2011,57,28,0,29,5,1,0,1,1,21
"Herkimer",2010,55,26,0,29,6,0,0,1,1,21
"Jefferson",2019,129,1,0,128,23,1,0,12,2,91
"Jefferson",2018,167,7,0,159,23,0,0,14,2,119
"Jefferson",2017,185,19,1,166,24,1,1,14,2,124
"Jefferson",2016,177,9,0,168,28,0,0,10,2,127
"Jefferson",2015,173,16,0,157,27,1,0,7,3,119
"Jefferson",2014,177,51,0,127,17,2,0,8,3,97
"Jefferson",2013,180,45,0,135,25,2,0,5,3,100
"Jefferson",2012,158,24,0,133,22,1,0,5,2,103
"Jefferson",2011,171,30,0,141,29,1,0,6,2,103
"Jefferson",2010,169,27,0,142,25,1,0,6,2,107
"Lewis",2019,34,1,0,33,6,3,1,5,0,18
"Lewis",2018,31,1,0,30,5,3,1,2,0,19
"Lewis",2017,36,2,2,36,6,4,0,2,1,24
"Lewis",2016,34,0,1,35,5,5,1,2,1,21
"Lewis",2015,31,1,3,34,8,1,1,2,0,22
"Lewis",2014,30,0,1,31,7,2,2,0,0,20
"Lewis",2013,31,0,3,34,7,2,2,0,1,22
"Lewis",2012,28,0,2,30,8,1,4,0,1,16
"Lewis",2011,29,0,3,32,4,1,7,0,1,19
"Lewis",2010,27,0,5,32,6,1,5,0,0,20
"Livingston",2019,122,4,11,129,23,0,46,8,1,50
"Livingston",2018,132,1,11,142,28,0,42,10,2,59
"Livingston",2017,128,0,15,143,32,0,41,8,2,59
"Livingston",2016,139,3,20,156,36,0,33,8,2,77
"Livingston",2015,132,1,16,147,38,0,30,6,2,70
"Livingston",2014,124,2,15,137,34,0,26,5,2,69
"Livingston",2013,116,1,11,126,38,0,20,5,2,62
"Livingston",2012,104,0,10,114,31,0,9,6,2,66
"Livingston",2011,95,13,8,90,31,0,0,6,2,51
"Livingston",2010,100,13,3,91,29,0,0,6,2,54
"Madison",2019,90,1,0,89,32,1,6,6,1,42
"Madison",2018,91,3,0,88,25,2,6,3,1,51
"Madison",2017,82,1,0,81,32,3,4,4,1,37
"Madison",2016,80,0,1,80,30,2,2,2,1,42
"Madison",2015,95,0,0,96,34,2,5,4,1,50
"Madison",2014,96,1,1,95,37,2,3,4,2,47
"Madison",2013,89,1,1,89,42,4,5,3,1,34
"Madison",2012,96,0,2,98,39,4,7,4,1,43
"Madison",2011,89,0,1,90,38,5,9,2,1,36
"Madison",2010,86,1,4,88,40,5,4,2,1,38
"Monroe",2019,48,0,0,48,34,0,0,0,0,13
"Monroe",2018,218,0,0,218,146,1,0,1,0,70
"Monroe",2017,278,0,0,278,166,0,0,2,0,110
"Monroe",2016,320,0,1,321,187,0,0,3,0,131
"Monroe",2015,310,0,0,310,183,0,0,1,0,126
"Monroe",2014,330,0,0,330,204,0,0,0,0,125
"Monroe",2013,323,0,0,323,209,0,0,0,0,114
"Monroe",2012,372,0,0,372,263,1,0,1,0,108
"Monroe",2011,350,0,9,359,255,0,0,6,0,97
"Monroe",2010,344,0,8,353,270,0,1,1,1,80
"Monroe",2019,918,3,4,919,192,0,47,156,22,503
"Monroe",2018,867,2,4,869,131,0,39,140,28,531
"Monroe",2017,928,2,2,928,151,0,34,131,30,582
"Monroe",2016,998,3,4,998,164,0,55,109,30,640
"Monroe",2015,998,4,2,995,155,0,68,85,28,660
"Monroe",2014,1009,1,2,1011,170,0,56,65,29,691
"Monroe",2013,989,1,1,989,166,0,47,66,26,683
"Monroe",2012,970,1,0,969,161,1,50,65,26,666
"Monroe",2011,1000,6,4,999,196,1,77,64,22,639
"Monroe",2010,1057,3,3,1058,207,1,92,84,23,651
"Montgomery",2019,102,0,4,105,31,0,13,6,1,54
"Montgomery",2018,100,1,0,99,31,1,2,5,3,58
"Montgomery",2017,96,0,0,96,27,2,4,4,2,57
"Montgomery",2016,90,0,0,90,28,1,3,6,3,50
"Montgomery",2015,126,0,5,131,39,1,12,6,3,71
"Montgomery",2014,127,0,5,132,24,1,27,5,3,71
"Montgomery",2013,126,0,10,136,26,1,15,5,2,86
"Montgomery",2012,131,0,8,139,32,2,21,5,2,77
"Montgomery",2011,124,1,14,138,32,3,9,3,3,87
"Montgomery",2010,115,0,6,121,33,2,7,5,2,72
"Nassau",2019,1025,8,4,1021,227,1,25,34,8,724
"Nassau",2018,1094,7,6,1093,210,1,25,33,9,816
"Nassau",2017,1188,10,8,1186,222,0,29,34,14,887
"Nassau",2016,1155,6,8,1157,189,1,31,43,10,883
"Nassau",2015,1148,7,11,1151,179,1,37,43,12,880
"Nassau",2014,1218,9,9,1218,189,1,40,43,12,933
"Nassau",2013,1294,7,10,1296,178,1,61,41,12,1004
"Nassau",2012,1417,12,86,1491,208,1,101,24,10,1146
"Nassau",2011,1467,11,88,1545,241,1,123,17,13,1150
"Nassau",2010,1607,6,8,1609,237,1,128,21,10,1213
"Niagara",2019,346,0,3,349,72,0,105,14,5,152
"Niagara",2018,380,0,3,382,81,0,104,16,4,176
"Niagara",2017,428,0,1,428,98,0,112,13,4,202
"Niagara",2016,416,0,1,417,82,0,115,14,4,202
"Niagara",2015,415,0,1,416,96,0,113,15,8,184
"Niagara",2014,437,0,1,438,110,0,107,11,11,199
"Niagara",2013,460,0,1,460,106,0,107,14,12,221
"Niagara",2012,451,0,0,451,106,0,107,14,11,213
"Niagara",2011,437,0,1,438,114,1,87,21,16,199
"Niagara",2010,468,0,1,469,136,0,82,15,13,223
"Oneida",2019,346,0,17,363,117,0,24,35,3,184
"Oneida",2018,395,0,24,419,121,0,19,40,5,235
"Oneida",2017,491,0,21,512,136,0,25,35,7,308
"Oneida",2016,454,1,29,483,141,0,26,39,6,271
"Oneida",2015,419,1,38,457,151,0,27,30,7,242
"Oneida",2014,432,0,51,483,157,0,35,26,8,257
"Oneida",2013,434,0,41,476,155,0,48,28,7,238
"Oneida",2012,424,0,47,471,148,0,37,25,8,253
"Oneida",2011,406,0,28,435,172,0,28,14,7,213
"Oneida",2010,412,0,26,437,159,0,33,8,5,231
"Onondaga",2019,297,0,1,297,187,4,5,62,0,40
"Onondaga",2018,377,2,10,385,242,3,17,78,0,44
"Onondaga",2017,445,10,49,485,327,4,22,64,0,68
"Onondaga",2016,424,8,87,502,317,4,12,65,0,104
"Onondaga",2015,415,6,71,480,322,7,9,55,0,87
"Onondaga",2014,450,11,75,514,369,8,6,39,0,92
"Onondaga",2013,476,27,59,508,358,5,29,41,0,74
"Onondaga",2012,504,13,6,497,350,6,75,46,0,20
"Onondaga",2011,487,23,1,465,322,6,84,43,0,11
"Onondaga",2010,496,27,1,469,321,7,77,54,0,11
"Onondaga",2019,487,0,1,488,21,2,2,15,11,437
"Onondaga",2018,561,9,2,554,23,1,2,9,15,504
"Onondaga",2017,615,50,12,576,14,1,2,5,16,539
"Onondaga",2016,649,87,10,572,11,2,1,3,14,540
"Onondaga",2015,645,72,7,581,20,3,1,2,15,540
"Onondaga",2014,661,75,13,599,27,2,1,2,15,552
"Onondaga",2013,642,60,32,614,25,4,3,3,13,566
"Onondaga",2012,608,6,21,622,24,3,2,2,12,579
"Onondaga",2011,607,1,35,642,28,2,5,3,14,589
"Onondaga",2010,582,1,41,621,28,3,5,2,13,571
"Ontario",2019,139,2,0,137,33,0,0,17,2,86
"Ontario",2018,162,6,0,156,41,0,0,19,2,94
"Ontario",2017,179,4,1,176,57,1,0,19,3,95
"Ontario",2016,219,5,0,214,76,2,0,13,4,119
"Ontario",2015,212,2,0,210,73,1,0,14,5,117
"Ontario",2014,211,2,1,210,76,3,2,11,5,113
"Ontario",2013,217,2,0,216,79,3,0,11,4,118
"Ontario",2012,198,0,0,198,78,1,2,8,4,105
"Ontario",2011,196,0,0,196,83,0,2,10,6,96
"Ontario",2010,198,1,1,197,83,0,3,7,5,100
"Orange",2019,618,1,2,619,100,4,197,37,10,272
"Orange",2018,695,1,1,695,122,7,180,36,12,339
"Orange",2017,681,2,3,683,144,6,172,38,12,310
"Orange",2016,663,1,7,669,161,8,172,34,11,282
"Orange",2015,552,0,8,559,122,5,143,28,3,257
"Orange",2014,599,2,8,606,128,10,116,30,7,316
"Orange",2013,582,2,11,590,128,9,122,39,9,283
"Orange",2012,590,3,7,594,121,5,138,38,8,284
"Orange",2011,574,1,5,578,129,7,122,34,9,276
"Orange",2010,606,4,7,609,144,7,116,38,8,297
"Orleans",2019,58,1,1,57,23,0,0,6,1,27
"Orleans",2018,60,0,1,61,17,0,0,10,1,32
"Orleans",2017,68,2,1,67,21,0,0,7,1,38
"Orleans",2016,63,1,1,63,18,0,0,10,1,35
"Orleans",2015,64,1,3,66,21,0,0,6,1,38
"Orleans",2014,61,0,2,63,20,0,0,3,1,38
"Orleans",2013,62,1,5,65,21,0,0,4,1,39
"Orleans",2012,75,2,5,78,27,0,0,4,1,45
"Orleans",2011,76,1,3,78,28,0,0,5,0,44
"Orleans",2010,73,0,3,76,27,0,0,5,0,43
"Oswego",2019,135,9,0,126,41,1,0,19,2,64
"Oswego",2018,169,23,0,145,36,1,0,20,4,85
"Oswego",2017,152,16,0,136,38,0,0,15,4,79
"Oswego",2016,168,20,0,148,40,1,0,17,4,86
"Oswego",2015,171,21,0,150,33,2,0,13,3,98
"Oswego",2014,156,15,0,141,47,3,0,13,4,75
"Oswego",2013,165,12,0,153,53,3,0,9,4,84
"Oswego",2012,187,30,0,158,50,3,0,10,4,91
"Oswego",2011,166,10,0,157,58,2,0,7,4,85
"Oswego",2010,137,2,0,135,60,1,0,6,4,64
"Otsego",2019,54,15,0,39,9,0,0,4,0,26
"Otsego",2018,65,2,0,63,17,0,0,5,1,40
"Otsego",2017,57,3,0,54,14,0,0,4,0,36
"Otsego",2016,70,0,3,73,19,0,0,4,0,50
"Otsego",2015,54,0,8,62,18,0,0,5,1,38
"Otsego",2014,68,0,7,75,23,0,0,5,0,47
"Otsego",2013,71,0,6,76,27,0,0,4,1,45
"Otsego",2012,77,0,1,79,25,0,0,3,1,50
"Otsego",2011,70,1,0,68,23,0,0,2,1,42
"Otsego",2010,69,1,0,68,26,0,0,2,1,39
"Putnam",2019,62,0,3,65,9,0,16,2,1,37
"Putnam",2018,75,0,3,77,11,0,16,2,1,47
"Putnam",2017,84,0,2,86,14,0,19,2,1,50
"Putnam",2016,83,0,3,85,13,0,14,2,1,55
"Putnam",2015,87,1,2,88,10,0,12,2,1,62
"Putnam",2014,104,3,0,101,14,2,6,2,1,77
"Putnam",2013,109,3,6,111,17,1,3,2,1,87
"Putnam",2012,101,6,12,107,15,1,2,2,1,87
"Putnam",2011,114,2,4,116,15,2,8,2,1,87
"Putnam",2010,102,3,4,103,17,1,4,1,1,77
"Rensselaer",2019,303,1,1,303,54,2,121,28,3,95
"Rensselaer",2018,321,1,0,320,58,2,123,29,3,105
"Rensselaer",2017,298,0,2,300,56,4,109,21,3,108
"Rensselaer",2016,309,2,2,309,93,4,98,22,4,89
"Rensselaer",2015,314,1,13,326,94,3,85,16,4,123
"Rensselaer",2014,317,0,34,351,91,3,80,19,5,152
"Rensselaer",2013,299,1,76,373,79,4,79,16,5,191
"Rensselaer",2012,309,1,116,425,90,9,80,26,5,215
"Rensselaer",2011,265,0,112,377,87,7,61,18,4,200
"Rensselaer",2010,217,1,12,229,89,6,13,17,3,100
"Rockland",2019,134,0,0,134,26,0,0,10,2,96
"Rockland",2018,150,0,1,151,31,0,0,14,2,104
"Rockland",2017,177,0,1,178,39,0,0,13,2,124
"Rockland",2016,169,0,3,172,37,0,0,10,2,124
"Rockland",2015,171,1,2,172,30,0,0,9,2,131
"Rockland",2014,183,1,0,182,47,0,0,8,2,125
"Rockland",2013,227,0,0,227,46,0,0,13,3,164
"Rockland",2012,240,2,0,238,46,0,1,9,3,178
"Rockland",2011,247,2,0,245,48,0,1,9,2,184
"Rockland",2010,212,0,1,213,52,0,2,10,2,147
"Saratoga",2019,181,0,0,181,67,2,0,19,2,91
"Saratoga",2018,188,0,0,188,72,0,0,19,2,96
"Saratoga",2017,184,0,0,184,70,0,0,16,2,96
"Saratoga",2016,184,0,0,184,67,1,0,15,2,98
"Saratoga",2015,194,0,0,194,69,3,0,6,2,114
"Saratoga",2014,194,0,0,194,71,3,0,9,2,109
"Saratoga",2013,187,0,0,187,80,4,0,8,2,93
"Saratoga",2012,156,0,0,156,57,3,0,8,2,86
"Saratoga",2011,150,0,0,150,50,3,0,7,2,88
"Saratoga",2010,164,0,0,164,47,2,0,5,1,108
"Schenectady",2019,228,2,0,227,52,1,0,28,5,140
"Schenectady",2018,275,2,0,273,69,1,0,24,6,173
"Schenectady",2017,292,3,0,289,66,1,0,22,8,193
"Schenectady",2016,338,7,0,332,67,0,0,21,8,235
"Schenectady",2015,329,3,0,325,75,1,0,23,5,221
"Schenectady",2014,322,3,0,320,78,3,2,22,5,210
"Schenectady",2013,326,4,0,322,71,2,9,28,6,207
"Schenectady",2012,314,3,0,311,54,3,2,32,4,216
"Schenectady",2011,319,2,0,317,52,3,3,27,6,226
"Schenectady",2010,286,2,0,284,48,5,0,23,5,202
"Schoharie",2019,18,18,0,0,0,0,0,0,0,0
"Schoharie",2018,19,19,0,0,0,0,0,0,0,0
"Schoharie",2017,29,29,0,0,0,0,0,0,0,0
"Schoharie",2016,34,34,0,0,0,0,0,0,0,0
"Schoharie",2015,30,29,0,0,0,0,0,0,0,0
"Schoharie",2014,29,29,0,0,0,0,0,0,0,0
"Schoharie",2013,31,31,0,0,0,0,0,0,0,0
"Schoharie",2012,26,26,0,0,0,0,0,0,0,0
"Schoharie",2011,28,8,7,27,9,1,3,0,1,13
"Schoharie",2010,32,5,23,50,14,2,8,1,1,23
"Schuyler",2019,15,2,0,13,5,0,0,2,0,6
"Schuyler",2018,17,4,0,14,5,0,0,1,0,7
"Schuyler",2017,21,5,0,17,4,0,0,2,0,11
