,County,Year,AidAmount,Population,JailPopulation,CrimesReported
540,Wyoming,2010,56613368.0,42126,56,919.0
541,Wyoming,2011,47787450.0,41849,66,1019.0
542,Wyoming,2012,48739847.0,41700,63,1053.0
543,Wyoming,2013,50251064.0,41359,57,979.0
544,Wyoming,2014,51783819.0,41134,65,724.0
545,Wyoming,2015,54612660.0,40930,52,786.0
546,Wyoming,2016,55013099.0,40432,49,606.0
547,Wyoming,2017,54966558.0,40282,47,621.0
548,Wyoming,2018,56117422.0,40023,56,603.0
549,Wyoming,2019,58550134.0,39859,42,468.0
550,Yates,2010,23827164.0,25376,48,930.0
551,Yates,2011,21576979.0,25454,53,807.0
552,Yates,2012,22790686.0,25337,49,836.0
553,Yates,2013,22975293.0,25207,49,812.0
554,Yates,2014,23671165.0,25149,47,624.0
555,Yates,2015,24922417.0,25128,52,573.0
556,Yates,2016,25572768.0,25059,46,623.0
557,Yates,2017,26203199.0,25002,42,492.0
558,Yates,2018,26480853.0,24951,42,473.0
559,Yates,2019,27494973.0,24913,43,351.0
